date,value1,value2,value3,value4,value5
2017-08-21,58494921436.84035,68455807054.90352,53058731481.42294,60256410922.502365,5460509441.999641
2017-08-22,60439440594.04094,69130143632.9403,50785613634.121445,63322773604.59874,5460509441.999641
2017-08-23,63213625147.85164,70652536944.18536,59908049768.04561,63863280715.952934,5460509441.999641
2017-08-24,64170812789.38427,69969816185.5091,59585420979.997734,62883731207.50893,5460509441.999641
2017-08-25,62968392674.6022,67725050311.02765,61031478423.29849,64601164368.14023,5460509441.999641
2017-08-26,64537066703.53659,68758108234.98022,61696402185.84798,65740315886.8721,5460509441.999641
2017-08-27,65797243168.048065,71296623044.65025,62557487940.691925,67218834909.22272,2376517556.5689087
2017-08-28,67181766893.20868,71845382725.62933,63201469319.72342,68085090496.1349,2376517556.5689087
2017-08-29,68167631899.140366,74150537183.65045,63700329386.50159,69186368069.16524,2376517556.5689087
2017-08-30,69342865728.66118,74061039595.50812,66330843824.958374,71660054284.762,2376517556.5689087
2017-08-31,71596186959.92877,76683026404.41026,69349861853.81813,74096469674.08449,2376517556.5689087
2017-09-01,74092552493.83592,79839249980.17538,70817551190.55943,76544329700.39865,2376517556.5689087
2017-09-02,76466884343.93524,79190768446.6503,64768330861.20108,68576706448.86444,2376517556.5689087
2017-09-03,68843636305.15749,72892656947.83975,64109036050.006516,69202634759.14667,4551813510.222171
2017-09-04,69231357262.69324,69855953218.81796,53442048589.67378,59974576256.01039,4551813510.222171
2017-09-05,59923085543.90004,64474666735.47148,53058492130.17411,62785839251.89226,4551813510.222171
2017-09-06,62713747683.85326,69658793942.76727,60816214481.389175,67783826916.36142,4551813510.222171
2017-09-07,67764620692.47562,71242254814.46123,61342202734.206635,68045412768.98285,4551813510.222171
2017-09-08,67929455754.08157,70737989430.05861,57108036041.04881,62899222702.08768,4551813510.222171
2017-09-09,62892631089.06015,64499694814.93121,58950291587.68111,61950114353.6823,4551813510.222171
2017-09-10,62151917293.698105,63481453406.47008,56180554026.38748,60848970234.889435,1988572443.5581148
2017-09-11,61013854169.311066,64150786776.37344,57903529184.526054,60846943367.27873,1988572443.5581148
2017-09-12,61963196313.1539,66032093787.94803,58270368744.66429,61093340189.668304,1988572443.5581148
2017-09-13,61236120080.923294,62109455430.12404,52348767684.94324,57075200841.196915,1988572443.5581148
2017-09-14,57028249120.59128,58367772616.71799,43976295298.03907,45269811122.13373,1988572443.5581148
2017-09-15,45269424797.50679,55627537017.70783,38376516708.383194,51996473602.4256,1988572443.5581148
2017-09-16,52067378679.51274,55730107949.44957,47978558860.127716,51592867015.128265,1988572443.5581148
2017-09-17,51493430418.390434,53865201308.20299,47658804815.193695,51758689711.98363,2104466467.8534205
2017-09-18,51839501960.66783,61063154132.209625,51245096883.756905,58662233773.79794,2104466467.8534205
2017-09-19,58810496570.65079,60700919692.275635,54238352009.191055,56522234780.40528,2104466467.8534205
2017-09-20,56327495581.217766,59195924054.7877,53912035930.32513,55720246364.37718,2104466467.8534205
2017-09-21,55606304966.996704,56856021548.2071,49506512681.29262,50839282303.38743,2104466467.8534205
2017-09-22,50740751999.203575,54065241750.81025,48668941862.18331,51487307855.11287,2104466467.8534205
2017-09-23,51386776664.12976,55563218979.501274,49967708297.827324,54486445143.953255,2104466467.8534205
2017-09-24,54641899360.98666,56072382219.80034,51949298530.375984,53680922062.57238,1346137957.120911
2017-09-25,53726876887.83625,58834238905.34589,52303900008.93784,56853377392.99091,1346137957.120911
2017-09-26,56879693856.81628,59012213132.507935,54915983317.36383,56487035134.770294,1346137957.120911
2017-09-27,56449728208.809326,62767838455.55818,54677923535.3995,60663567570.75693,1346137957.120911
2017-09-28,60871361306.05574,62869673798.176834,57435125191.65883,59784685649.28703,1346137957.120911
2017-09-29,59702192702.15271,61226524101.51674,54579108920.54419,58223276034.85237,1346137957.120911
